barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-094111,MEL 085-1b,F3,<,127,138,147,160,59,55,28,22,12.5,11,11,39.5,4.14,26.4,2,3
W8-094112,MEL 085-1b,B7,>,127,136,145,166,74,55,30,26,11.5,11,10,35.5,3.71,37.3,2,2
W8-095111,MEL 086-1,G1,5,139,153,194,196,6*** contaminant,31,19,11,5.5,7,0,20,0.39,0.3,0,0
W8-095112,MEL 086-1,D5,<,141,152,166,,42,26,15.5,19,9,10,9.5,24.5,2.92,22.7,3,2
W8-096111,MEL 087-1a,A4,<,120,136,152,171,60,56,26,13,10.5,10.5,11,31,4.31,35.1,3,3
W8-096112,MEL 087-1a,D7,>,113,122,131,166,82,47,25,16,11,11.5,12,34,3.74,48.5,4,3
W8-097111,MEL 088-1,E3,<,134,111,126,150,48,48,28,13,9.5,9.5,10,24.5,4.12,31.7,0,0
W8-097112,MEL 088-1,B7,<,109,129,138,150,48,45,28.5,11,8,9,10,25.5,3.54,33.0,0,0
W8-098111,MEL 089-1a,A1,10,125,132,158,158,108,82,47,18,14.5,14,13,44.5,5.81,55.1,1,1
W8-098112,MEL 089-1a,D4,>,130,126,138,160,124,75,46.5,18,14.5,14.5,15,42.5,5.53,65.4,2,2
W8-099111,MEL 090-1a,B1,15,123,132,,171,88,45,29.5,21,13.5,14,13,45,3.89,45.2,1,2
W8-099112,MEL 090-1a,E4,>,132,140,154,189,90,42,23,17,12.5,12.5,12,34,4.95,40.8,0,0
W8-100111,MEL 091-1a,G2,<,125,132,138,180,30,32.5,25,14,7.5,8.5,8,20.5,1.92,14.9,3,3
W8-100112,MEL 091-1a,C6,<,120,126,131,175,36,29.5,13.5,15,8,8,8.5,22,2.10,21.6,4,4
W8-101111,MEL 092-1,E1,17,125,134,158,171,81,39.5,26,18,11,10,11,45,4.03,44.6,1,1
W8-101112,MEL 092-1,B5,>,125,136,171,175,60,32.5,21.5,17,11,11,11,38.5,3.90,32.0,1,1
W8-102111,MEL 093-1,B2,<,125,139,,175,88,46.5,27,13,11.5,12,11.5,44,6.33,39.0,1,1
W8-102112,MEL 093-1,F5,<,134,147,,193,84,49,24,12,11,11,11.5,30.5,5.95,33.8,0,0
W8-103111,MEL 094-1c,F1,11,146,159,166,199,59,57.5,26,19,11.5,11.5,11.5,17,3.46,31.9,0,0
W8-103112,MEL 094-1c,B5,>,141,154,160,203,63,51.5,26,21,11,11,10.5,18.5,3.41,35.9,0,0
W8-104111,MEL 095-1,F3,>,137,150,158,194,66,44.5,23.5,18,11.5,11.5,11.5,22.5,3.12,29.8,1,2
W8-104112,MEL 095-1,B7,>,134,147,154,189,70,44.5,24.5,21,12.5,12.5,11,24,2.94,33.9,1,1
W8-105111,MEL 096-1a,E2,>,120,125,138,158,108,52.5,27,19,6.5,10,9,41,2.42,58.0,2,1
W8-105112,MEL 096-1a,B6,<,113,119,129,160,98,62.5,31,18,10,10,10.5,38,3.99,46.6,3,2
W8-106111,MEL 097-1,E2,<,109,118,126,158,70,54.5,28,11,10,11.5,12,34,4.88,42.6,1,2
W8-106112,MEL 097-1,A6,<,109,117,127,166,58,57,25.5,11,9.5,12,10.5,28,4.77,37.1,1,1
