idtag	 timestamp	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
W8-139111	 2015-01-17	1084	45	0	0	4	3	0	0	0	0	0	0	0	0	0	0	325	0	0	0	2	521	0	0	0	25	644	8	0	0	0	11	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	38	0	0	0	77	449	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	7	0	0	0	1208580	1202	1993	230	192	125	9	0	0
W8-034111	 2015-01-17	1461	30	0	0	2	1	0	0	0	0	0	0	0	0	0	0	448	0	0	0	2	523	0	0	0	17	628	12	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	59	0	0	0	59	355	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	296	0	0	0	24	0	0	0	1206808	2162	2181	298	253	93	3	0	0
W8-159111	 2015-01-17	1794	142	0	0	36	57	0	0	0	6	0	0	0	0	0	0	295	5	0	0	10	1095	0	0	0	211	1808	22	0	0	3	141	16	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	96	0	0	1	210	1033	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	33	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	1	0	0	19	0	0	0	1203366	889	2860	619	541	275	20	0	0
W8-053111	 2015-01-17	1150	47	0	0	17	15	0	0	0	0	0	0	0	0	0	0	310	2	0	0	3	586	0	0	0	73	801	8	0	0	1	41	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	43	0	0	0	80	357	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	157	0	0	0	33	0	0	0	1207828	1387	2092	327	269	95	2	0	0
W8-064111	 2015-01-17	2330	123	0	0	6	6	0	0	0	0	0	0	0	0	0	0	589	3	0	0	4	993	0	0	0	33	1010	11	0	0	1	29	6	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	79	0	0	0	112	583	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	385	0	0	0	29	0	0	0	1202455	2612	3334	491	341	141	9	0	0
W8-062112	 2015-01-17	2346	111	0	0	5	8	0	0	0	0	0	0	0	0	0	0	595	1	0	0	7	1029	0	0	0	31	1007	11	0	0	0	29	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	104	0	0	0	73	552	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	420	0	0	0	32	0	0	0	1202511	2652	3125	486	405	154	7	0	0
W8-168112	 2015-01-17	1398	55	0	0	10	5	0	0	0	0	0	0	0	0	0	0	406	2	0	0	8	606	0	0	0	29	684	11	0	0	0	35	8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	51	0	0	0	80	405	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	273	0	0	0	55	0	0	0	1206822	1934	2236	293	201	113	2	0	0
W8-180112	 2015-01-17	745	29	0	0	15	11	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	259	0	0	0	97	566	9	0	0	8	117	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	170	404	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	183	0	0	0	17	0	0	0	1210042	1255	1100	158	170	122	6	0	0
W8-150112	 2015-01-17	1196	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	239	2	0	0	2	622	0	0	0	8	611	8	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	45	0	0	0	42	306	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	282	0	0	0	51	0	0	0	1207728	1844	2039	345	242	73	2	0	0
W8-011112	 2015-01-17	2707	122	0	0	4	19	0	0	0	3	0	0	0	0	0	0	750	1	0	0	3	1061	0	0	0	73	1023	14	0	0	2	56	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	62	0	0	0	188	729	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	45	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	416	0	0	0	12	0	0	0	1201645	2456	3271	469	342	187	34	0	0
W8-208112	 2015-01-17	1758	99	0	0	53	89	0	0	1	27	1	0	0	0	0	0	450	3	0	0	6	889	0	0	0	191	1804	25	0	0	2	268	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	95	0	0	1	210	985	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	42	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	8	0	0	0	1202661	1461	3123	524	462	239	17	0	0
W8-059112	 2015-01-17	1886	58	0	0	11	20	0	0	0	7	0	0	0	0	0	0	522	0	0	0	5	593	0	0	0	39	850	20	0	0	0	95	27	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	53	0	0	0	96	556	1	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	284	0	0	0	71	0	0	0	1204881	2511	2402	275	257	154	12	0	0
W8-075112	 2015-01-17	1998	71	0	0	15	14	0	0	0	0	0	0	0	0	0	0	551	2	0	0	5	722	0	0	0	78	827	12	0	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	53	0	0	0	66	431	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	274	1	0	0	29	0	0	0	1205375	1973	2491	319	261	99	10	0	0
W8-033112	 2015-01-17	1504	103	0	0	12	14	0	0	0	0	0	0	0	0	0	0	401	3	0	0	0	774	0	0	0	44	772	9	0	0	0	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	47	458	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	21	0	0	0	1206906	1397	2292	297	218	112	15	0	0
W8-133112	 2015-01-17	2068	104	0	0	10	23	0	0	0	0	0	0	0	0	0	0	631	2	0	0	53	780	0	0	0	72	978	8	0	0	0	54	21	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	75	0	0	0	142	562	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	28	0	0	0	1203329	2682	2872	359	316	144	10	0	0
W8-183112	 2015-01-17	2163	70	0	0	14	20	0	0	0	0	0	0	0	0	0	0	577	3	0	0	4	899	0	0	0	87	1297	13	0	0	3	48	11	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	77	0	0	0	144	765	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	29	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	1	0	0	23	0	0	0	1202669	2151	3242	473	391	218	13	0	0
