,,SSD,SSD,pots,Field  2010-11,Field 2011-12,,,Field 2012-13,,Field 2013-14,,
Gen 0=8-way F1,8-way F1 plant,F1 to F2,F2 to F3,F3 to F4,F4 to F5 nursery,F5 to F6 nursery,YT Reps,728 SNP 90k,F6 to F7 nursery,YT reps,F7 to F8 nursery,YT reps,
MEL 018-2,8MEL-1018-02,MEL 018-2,MEL 018-2,MEL 018-2,MEL 018-2,MEL 018-2,2,1-E-11,MEL 018-2,2,MEL 018-2,2,
MEL 019-1,8MEL-1019-01,MEL 019-1,MEL 019-1a,MEL 019-1a,MEL 019-1a,MEL 019-1a,2,1-E-12,MEL 019-1a,2,MEL 019-1a,2,
,8MEL-1019-01,,MEL 019-1b,MEL 019-1b,MEL 019-1b,MEL 019-1b,2,,stop - others from F1,,,,
MEL 019-2,8MEL-1019-02,MEL 019-2,MEL 019-2,,,,,,,,,,
MEL 019-3,8MEL-1019-03,MEL 019-3,,,,,,,,,,,
MEL 019-4,8MEL-1019-04,MEL 019-4,MEL 019-4,MEL 019-4,MEL 019-4,MEL 019-4,2,1-F-1,MEL 019-4,2,MEL 019-4,2,
MEL 019-5,8MEL-1019-05,MEL 019-5,MEL 019-5,MEL 019-5,MEL 019-5,MEL 019-5,2,1-F-2,MEL 019-5,2,MEL 019-5,2,
MEL 019-6,8MEL-1019-06,MEL 019-6,MEL 019-6,MEL 019-6,MEL 019-6,MEL 019-6A,3,1-F-3,MEL 019-6,2,MEL 019-6,2,
,,,,,,MEL 019-6B,,,stop double family,,,,
MEL 020-1,8MEL-1020-01,MEL 020-1,MEL 020-1,MEL 020-1,MEL 020-1,MEL 020-1A,3,1-F-4,MEL 020-1,2,MEL 020-1,2,
,,,,,,MEL 020-1B,,,stop double family,,,,
MEL 020-2,8MEL-1020-02,MEL 020-2,MEL 020-2,MEL 020-2,MEL 020-2,MEL 020-2,2,,MEL 020-2,2,MEL 020-2,2,
MEL 020-3,8MEL-1020-03,MEL 020-3,MEL 020-3,MEL 020-3,MEL 020-3,MEL 020-3,2,1-F-5,MEL 020-3,2,MEL 020-3,2,
MEL 020-4,8MEL-1020-04,MEL 020-4,MEL 020-4,MEL 020-4,MEL 020-4,MEL 020-4,1,,MEL 020-4,0,MEL 020-4,0,
MEL 020-5,8MEL-1020-05,MEL 020-5,MEL 020-5,MEL 020-5,MEL 020-5,MEL 020-5,2,7-A-6,MEL 020-5,2,MEL 020-5,2,
MEL 020-6,8MEL-1020-06,MEL 020-6,MEL 020-6,MEL 020-6,MEL 020-6,MEL 020-6,2,,MEL 020-6,0,MEL 020-6,0,
MEL 020-7,8MEL-1020-07,MEL 020-7,MEL 020-7,MEL 020-7,MEL 020-7,MEL 020-7,2,1-F-6,MEL 020-7,2,MEL 020-7,2,
MEL 020-8,8MEL-1020-08,MEL 020-8,MEL 020-8,MEL 020-8,MEL 020-8,MEL 020-8,2,,MEL 020-8,0,MEL 020-8,0,
MEL 021-1,8MEL-1021-01,MEL 021-1,MEL 021-1,MEL 021-1,MEL 021-1,MEL 021-1,1,1-F-7,MEL 021-1,2,MEL 021-1,2,
MEL 021-2,8MEL-1021-02,MEL 021-2,MEL 021-2,MEL 021-2,MEL 021-2,MEL 021-2,0,7-A-7,MEL 021-2,2,MEL 021-2,2,
MEL 021-3,8MEL-1021-03,MEL 021-3,MEL 021-3,MEL 021-3,MEL 021-3,MEL 021-3,1,1-F-8,MEL 021-3,2,MEL 021-3,2,
MEL 021-4,8MEL-1021-04,MEL 021-4,MEL 021-4,,,,,,,,,,
MEL 021-5,8MEL-1021-05,MEL 021-5,,,,,,,,,,,
MEL 021-6,8MEL-1021-06,MEL 021-6,,,,,,,,,,,
MEL 021-7,8MEL-1021-07,MEL 021-7,MEL 021-7,MEL 021-7,MEL 021-7,MEL 021-7,1,1-F-9,MEL 021-7,2,MEL 021-7,2,
MEL 022-1,8MEL-1022-01,MEL 022-1,MEL 022-1a,MEL 022-1a,MEL 022-1a,MEL 022-1a,2,,stop - others from F1,,,,
,8MEL-1022-01,,MEL 022-1b,MEL 022-1b,MEL 022-1b,MEL 022-1b,2,,stop - others from F1,,,,
,8MEL-1022-01,,MEL 022-1c,MEL 022-1c,MEL 022-1c,MEL 022-1c,2,1-F-10,MEL 022-1c,2,MEL 022-1c,2,
MEL 022-2,8MEL-1022-02,MEL 022-2,MEL 022-2a,MEL 022-2a,MEL 022-2a,MEL 022-2a,2,,MEL 022-2a,2,MEL 022-2a,2,
,8MEL-1022-02,,MEL 022-2b,MEL 022-2b,MEL 022-2b,MEL 022-2b,2,1-F-11,MEL 022-2b,2,MEL 022-2b,2,
,8MEL-1022-02,,MEL 022-2c,MEL 022-2c,MEL 022-2c,MEL 022-2c,2,,MEL 022-2c,0,MEL 022-2c,0,
MEL 022-3,8MEL-1022-03,MEL 022-3,,,,,,,,,,,
MEL 022-4,8MEL-1022-04,MEL 022-4,,,,,,,,,,,
MEL 022-5,8MEL-1022-05,MEL 022-5,,,,,,,,,,,
MEL 022-6,8MEL-1022-06,MEL 022-6,,,,,,,,,,,
MEL 022-7,8MEL-1022-07,MEL 022-7,,,,,,,,,,,
MEL 023-1,8MEL-1023-01,MEL 023-1,MEL 023-1,MEL 023-1,MEL 023-1,MEL 023-1,2,,MEL 023-1,0,MEL 023-1,0,
MEL 023-2,8MEL-1023-02,MEL 023-2,MEL 023-2,MEL 023-2,MEL 023-2,MEL 023-2,2,1-F-12,MEL 023-2,2,MEL 023-2,2,
MEL 023-3,8MEL-1023-03,MEL 023-3,MEL 023-3,,,,,,,,,,
MEL 023-4,8MEL-1023-04,MEL 023-4,MEL 023-4,MEL 023-4,MEL 023-4,MEL 023-4,1,1-G-1,MEL 023-4,2,MEL 023-4,2,
MEL 023-5,8MEL-1023-05,MEL 023-5,MEL 023-5,MEL 023-5,MEL 023-5,MEL 023-5,2,7-A-8,MEL 023-5,2,MEL 023-5,2,
